regulator,target,relationship_type,encode_class,encode_n_human_lung,encode_n_human_other,encode_n_mouse,cistrome_n_human_total,cistrome_n_human_lung,cistrome_n_mouse_total,cistrome_n_mouse_lung,cistrome_url,cistrome_lookup_status,remap_n_human_total,remap_n_human_lung,remap_n_mouse_total,remap_n_mouse_lung,remap_url,remap_lookup_status,merged_class,merged_class_changed_from_encode_only,justification
NKX2-1,SFTPC,master_to_output,literature_curation_only,0,0,0,,,,,http://db3.cistrome.org/browser/?factor=NKX2-1&species=Human,lookup_required,,,,,https://remap.univ-amu.fr/search?query=NKX2-1&tax_id=9606,lookup_required,unresolved_public_evidence_gap,no,"ENCODE confirms no relevant TF ChIP-seq, but Cistrome and/or ReMap counts are not yet curated (status: cistrome=lookup_required, remap=lookup_required). Manual lookup at the URLs in metadata/external_chip_lookups.csv is required before any conclusion about absence can be drawn."
NKX2-1,SFTPB,master_to_output,literature_curation_only,0,0,0,,,,,http://db3.cistrome.org/browser/?factor=NKX2-1&species=Human,lookup_required,,,,,https://remap.univ-amu.fr/search?query=NKX2-1&tax_id=9606,lookup_required,unresolved_public_evidence_gap,no,"ENCODE confirms no relevant TF ChIP-seq, but Cistrome and/or ReMap counts are not yet curated (status: cistrome=lookup_required, remap=lookup_required). Manual lookup at the URLs in metadata/external_chip_lookups.csv is required before any conclusion about absence can be drawn."
NKX2-1,SCGB1A1,master_to_output,literature_curation_only,0,0,0,,,,,http://db3.cistrome.org/browser/?factor=NKX2-1&species=Human,lookup_required,,,,,https://remap.univ-amu.fr/search?query=NKX2-1&tax_id=9606,lookup_required,unresolved_public_evidence_gap,no,"ENCODE confirms no relevant TF ChIP-seq, but Cistrome and/or ReMap counts are not yet curated (status: cistrome=lookup_required, remap=lookup_required). Manual lookup at the URLs in metadata/external_chip_lookups.csv is required before any conclusion about absence can be drawn."
NKX2-1,ABCA3,master_to_output,literature_curation_only,0,0,0,,,,,http://db3.cistrome.org/browser/?factor=NKX2-1&species=Human,lookup_required,,,,,https://remap.univ-amu.fr/search?query=NKX2-1&tax_id=9606,lookup_required,unresolved_public_evidence_gap,no,"ENCODE confirms no relevant TF ChIP-seq, but Cistrome and/or ReMap counts are not yet curated (status: cistrome=lookup_required, remap=lookup_required). Manual lookup at the URLs in metadata/external_chip_lookups.csv is required before any conclusion about absence can be drawn."
NKX2-1,SOX2,master_to_progenitor,literature_curation_only,0,0,0,,,,,http://db3.cistrome.org/browser/?factor=NKX2-1&species=Human,lookup_required,,,,,https://remap.univ-amu.fr/search?query=NKX2-1&tax_id=9606,lookup_required,unresolved_public_evidence_gap,no,"ENCODE confirms no relevant TF ChIP-seq, but Cistrome and/or ReMap counts are not yet curated (status: cistrome=lookup_required, remap=lookup_required). Manual lookup at the URLs in metadata/external_chip_lookups.csv is required before any conclusion about absence can be drawn."
NKX2-1,SOX9,master_to_progenitor,literature_curation_only,0,0,0,,,,,http://db3.cistrome.org/browser/?factor=NKX2-1&species=Human,lookup_required,,,,,https://remap.univ-amu.fr/search?query=NKX2-1&tax_id=9606,lookup_required,unresolved_public_evidence_gap,no,"ENCODE confirms no relevant TF ChIP-seq, but Cistrome and/or ReMap counts are not yet curated (status: cistrome=lookup_required, remap=lookup_required). Manual lookup at the URLs in metadata/external_chip_lookups.csv is required before any conclusion about absence can be drawn."
NKX2-1,FOXA2,master_to_master,literature_curation_only,0,0,0,,,,,http://db3.cistrome.org/browser/?factor=NKX2-1&species=Human,lookup_required,,,,,https://remap.univ-amu.fr/search?query=NKX2-1&tax_id=9606,lookup_required,unresolved_public_evidence_gap,no,"ENCODE confirms no relevant TF ChIP-seq, but Cistrome and/or ReMap counts are not yet curated (status: cistrome=lookup_required, remap=lookup_required). Manual lookup at the URLs in metadata/external_chip_lookups.csv is required before any conclusion about absence can be drawn."
SOX2,KRT5,progenitor_to_output,literature_curation_only,0,0,0,,,,,http://db3.cistrome.org/browser/?factor=SOX2&species=Human,lookup_required,,,,,https://remap.univ-amu.fr/search?query=SOX2&tax_id=9606,lookup_required,unresolved_public_evidence_gap,no,"ENCODE confirms no relevant TF ChIP-seq, but Cistrome and/or ReMap counts are not yet curated (status: cistrome=lookup_required, remap=lookup_required). Manual lookup at the URLs in metadata/external_chip_lookups.csv is required before any conclusion about absence can be drawn."
SOX2,TP63,progenitor_to_output,literature_curation_only,0,0,0,,,,,http://db3.cistrome.org/browser/?factor=SOX2&species=Human,lookup_required,,,,,https://remap.univ-amu.fr/search?query=SOX2&tax_id=9606,lookup_required,unresolved_public_evidence_gap,no,"ENCODE confirms no relevant TF ChIP-seq, but Cistrome and/or ReMap counts are not yet curated (status: cistrome=lookup_required, remap=lookup_required). Manual lookup at the URLs in metadata/external_chip_lookups.csv is required before any conclusion about absence can be drawn."
SOX2,MUC5B,progenitor_to_output,literature_curation_only,0,0,0,,,,,http://db3.cistrome.org/browser/?factor=SOX2&species=Human,lookup_required,,,,,https://remap.univ-amu.fr/search?query=SOX2&tax_id=9606,lookup_required,unresolved_public_evidence_gap,no,"ENCODE confirms no relevant TF ChIP-seq, but Cistrome and/or ReMap counts are not yet curated (status: cistrome=lookup_required, remap=lookup_required). Manual lookup at the URLs in metadata/external_chip_lookups.csv is required before any conclusion about absence can be drawn."
SOX9,SFTPC,progenitor_to_output,literature_curation_only,0,0,0,,,,,http://db3.cistrome.org/browser/?factor=SOX9&species=Human,lookup_required,,,,,https://remap.univ-amu.fr/search?query=SOX9&tax_id=9606,lookup_required,unresolved_public_evidence_gap,no,"ENCODE confirms no relevant TF ChIP-seq, but Cistrome and/or ReMap counts are not yet curated (status: cistrome=lookup_required, remap=lookup_required). Manual lookup at the URLs in metadata/external_chip_lookups.csv is required before any conclusion about absence can be drawn."
SOX9,ID2,progenitor_to_output,literature_curation_only,0,0,0,,,,,http://db3.cistrome.org/browser/?factor=SOX9&species=Human,lookup_required,,,,,https://remap.univ-amu.fr/search?query=SOX9&tax_id=9606,lookup_required,unresolved_public_evidence_gap,no,"ENCODE confirms no relevant TF ChIP-seq, but Cistrome and/or ReMap counts are not yet curated (status: cistrome=lookup_required, remap=lookup_required). Manual lookup at the URLs in metadata/external_chip_lookups.csv is required before any conclusion about absence can be drawn."
